name	first_artist	duration_ms	popularity	explicit	album_release_date	album_release_year	added_at_date	url	first_letter	album_name	id
Love The Way You Lie	Eminem	263373	47	False	2010-06-18	2010	2024-11-06	https://open.spotify.com/track/4k5Rb51qsUSMFg6oFdVC48	L	Recovery	4k5Rb51qsUSMFg6oFdVC48
Without Me	Eminem	290120	46	False	2002-05-26	2002	2024-11-03	https://open.spotify.com/track/3Q0kSmKpkffn4aWkYkWwet	W	The Eminem Show (Edited Version)	3Q0kSmKpkffn4aWkYkWwet
Lose Yourself	Eminem	320573	50	False	2014-11-24	2014	2024-11-03	https://open.spotify.com/track/2jvHb9SHJDi8Ugky7tUzUb	L	SHADYXV	2jvHb9SHJDi8Ugky7tUzUb
The Real Slim Shady	Eminem	283693	54	False	2005-12-06	2005	2024-11-03	https://open.spotify.com/track/2WXUcFnJPPATncUkPYC54v	T	Curtain Call: The Hits	2WXUcFnJPPATncUkPYC54v
Houdini	Eminem	227239	57	False	2024-05-30	2024	2024-11-03	https://open.spotify.com/track/6vw2M02LT3otGUoK4ZqHwx	H	Houdini	6vw2M02LT3otGUoK4ZqHwx
Scatman (ski-ba-bop-ba-dop-bop)	Scatman John	215973	68	False	1995-06-01	1995	2024-10-22	https://open.spotify.com/track/623rRTKwGmgjH6sjE9uWLh	S	Scatman's World	623rRTKwGmgjH6sjE9uWLh
Solo (feat. Demi Lovato)	Clean Bandit	222706	70	False	2018-11-30	2018	2024-10-12	https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h	S	What Is Love? (Deluxe Edition)	3NuK5xMlSlB6K2Qp16zf3h
New Rules	Dua Lipa	209320	78	False	2017-06-02	2017	2024-10-08	https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0	N	Dua Lipa (Deluxe)	2ekn2ttSfGqwhhate0LSR0
Stay Shrimpy	Norris Nuts	148046	26	False	2021-09-09	2021	2024-09-26	https://open.spotify.com/track/6DVyAqnIDXpZwEmS7B2oPC	S	Stay Shrimpy	6DVyAqnIDXpZwEmS7B2oPC
Rolling in the Deep	Adele	228093	77	False	2011-01-24	2011	2024-09-17	https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk	R	21	1c8gk2PeTE04A1pIDH9YMk
Eating the Cats (Donald Trump Remix)	The Kiffness	107903	53	False	2024-09-14	2024	2024-09-16	https://open.spotify.com/track/3mm6BqYUdVexVflzjym0wl	E	Eating the Cats (Donald Trump Remix)	3mm6BqYUdVexVflzjym0wl
All Norris Nuts Songs About Themselves	Norris Nuts	166680	28	False	2020-07-15	2020	2024-09-14	https://open.spotify.com/track/0QFcwZHWVKcZoDPEcvyWNN	A	All Norris Nuts Songs About Themselves	0QFcwZHWVKcZoDPEcvyWNN
Espresso	Sabrina Carpenter	175459	90	True	2024-04-12	2024	2024-09-14	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75	E	Espresso	2qSkIjg1o9h3YT9RAgYN75
We Play All Night Long	Norris Nuts	142153	30	False	2019-10-28	2019	2024-09-14	https://open.spotify.com/track/0LDIEbN6TkKwkl8hY4kt1e	W	We Play All Night Long	0LDIEbN6TkKwkl8hY4kt1e
10:35	Tiësto	172252	19	False	2023-02-10	2023	2024-09-14	https://open.spotify.com/track/4zLmrV4hYIYfIbsYle3RMt	1	10:35 (feat. Tate McRae) [The Remixes]	4zLmrV4hYIYfIbsYle3RMt
exes	Tate McRae	159400	83	True	2023-12-08	2023	2024-09-14	https://open.spotify.com/track/4E63weMCaNZuGPEFMnuEi8	E	THINK LATER	4E63weMCaNZuGPEFMnuEi8
We the #Legends	Norris Nuts	107526	32	False	2018-10-16	2018	2024-08-26	https://open.spotify.com/track/77vVDAzFVKEmgxDKCtAdpR	W	We the #Legends	77vVDAzFVKEmgxDKCtAdpR
Illusion	Dua Lipa	188143	66	False	2024-04-11	2024	2024-08-24	https://open.spotify.com/track/59xD5osEFsaNt5PXfIKUnX	I	Illusion	59xD5osEFsaNt5PXfIKUnX
Training Season	Dua Lipa	209487	74	False	2024-02-15	2024	2024-08-24	https://open.spotify.com/track/6Qb7YsAqH4wWFUMbGsCpap	T	Training Season	6Qb7YsAqH4wWFUMbGsCpap
Cups - Movie Version	Anna Kendrick	75813	46	False	2015-02-10	2015	2024-08-15	https://open.spotify.com/track/1k6hE5RWi4LQzoIFeosCJ7	C	Ultimate Pitch Perfect (Original Motion Picture Soundtrack)	1k6hE5RWi4LQzoIFeosCJ7
Levitating	Dua Lipa	203807	74	False	2020-03-27	2020	2024-08-15	https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP	L	Future Nostalgia	39LLxExYz6ewLAcYrzQQyP
Roar	Katy Perry	223546	77	False	2013-01-01	2013	2024-08-15	https://open.spotify.com/track/27tNWlhdAryQY04Gb2ZhUI	R	PRISM	27tNWlhdAryQY04Gb2ZhUI
Houdini	Dua Lipa	185917	71	False	2023-11-09	2023	2024-06-25	https://open.spotify.com/track/4OMJGnvZfDvsePyCwRGO7X	H	Houdini	4OMJGnvZfDvsePyCwRGO7X
Viens	Yannick Noah	165826	25	False	2019-09-06	2019	2024-06-20	https://open.spotify.com/track/4OctHsFfFHQgQi1AepRlf7	V	Bonheur indigo	4OctHsFfFHQgQi1AepRlf7
Unity	TheFatRat	249285	14	False	2015-03-06	2015	2024-06-06	https://open.spotify.com/track/47qYqGPgMTh3l1PRKBHEfI	U	Unity	47qYqGPgMTh3l1PRKBHEfI
Don't Stop Believin'	Journey	248906	72	False	2001-10-16	2001	2024-05-13	https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg	D	The Essential Journey	77NNZQSqzLNqh2A9JhLRkg
Monster	YOASOBI	205000	46	False	2021-07-30	2021	2024-04-06	https://open.spotify.com/track/7M9lc2hHXKQobbHQ31Yg2v	M	Monster	7M9lc2hHXKQobbHQ31Yg2v
Before You Go	Lewis Capaldi	215106	81	False	2019-11-22	2019	2024-04-06	https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP	B	Divinely Uninspired To A Hellish Extent (Extended Edition)	2gMXnyrvIjhVBUZwvLZDMP
