column_a,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img,key_frequency,tsne_x,tsne_y,umap_x,umap_y
1,00IqwkT0PZhJ86PJajRCqk,0.195,0.348,A#,-10.106,major,0.0332,0.82,0.0,0.126,0.262,166.824,213107,3,A# major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Silver Bells,Johnny Mathis,Merry Christmas,https://i.scdn.co/image/b878b9e27201163be07e746657280ab24802839e,466.16,-3.4506953,0.43034717,6.306045,6.429415
2,01h424WG38dgY34vkI3Yd0,0.225,0.248,A,-15.871,major,0.0337,0.912,0.000143,0.404,0.19,96.013,183613,4,A major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,White Christmas,Bing Crosby,White Christmas,https://i.scdn.co/image/3bb0daf5f87a737ce67ace001f240a82094de467,440.0,-5.5557065,3.6998248,7.5369344,5.5847178
3,08BhfyKUXxZrnyHrDavNHP,0.444,0.288,F#,-11.793,major,0.0326,0.911,6.68e-06,0.0987,0.356,108.043,199093,3,F# major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,The Christmas Waltz,Tony Bennett,A Swingin' Christmas Featuring The Count Basie Big Band,https://i.scdn.co/image/96aa4fb09e7fe9d38599c8d9d475eb6d675e2e87,739.99,-6.476857,4.8051305,7.9326167,5.8667235
4,095XSaT8I2uI6Uldj2QrSl,0.687,0.496,A,-4.708,major,0.0339,0.434,0.00144,0.0613,0.746,97.575,178680,4,A major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Stop the Cavalry,Jona Lewie,On The Other Hand There's A Fist (Remastered),https://i.scdn.co/image/50c0ea35cacbf7c5d495c71e0d2e789af97cd2c2,440.0,2.8850834,2.1266477,4.1575704,5.624289
5,09b2gJR45Pyip2rx9CnXW1,0.477,0.841,F#,-5.172,major,0.0358,0.000165,0.0971,0.257,0.571,119.954,203404,4,F# major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,I Don't Want to Go Home for Christmas,Independent Counsel of Funk,I Don't Want to Go Home for Christmas,https://i.scdn.co/image/77eb7c17cafe55037a1ab279b7d79ad4624e53fa,739.99,2.3019958,-1.3309033,4.4841833,6.5274076
6,0AiQn7Y9SKL7oiD0aMIGUs,0.484,0.598,G,-5.99,major,0.0303,0.455,0.000237,0.251,0.7,166.427,187493,4,G major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Baby! It's Christmas,Jessie James Decker,Baby! It's Christmas,https://i.scdn.co/image/496371032d5aa01592e472f20f8a752850cfe2cb,783.99,1.2185819,-1.0693715,4.880805,6.079604
7,0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,G,-7.462,major,0.0386,0.164,0.0,0.0708,0.346,150.277,241107,4,G major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,https://i.scdn.co/image/e06f3ddadf59ee24504fc02bfe205945807a2437,783.99,0.09731091,-1.3540645,5.3399396,6.495137
8,0CykH7AD5TOQeF3G2EbUYl,0.664,0.661,E,-5.718,major,0.0344,0.877,5.26e-06,0.086,0.883,97.301,119640,4,E major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Deck the Halls,Mark Vincent,The Most Wonderful Time of the Year,https://i.scdn.co/image/934e7bf2e020571c0887f29cf386a05df621ef96,659.25,1.8813928,3.8323846,4.9738255,4.4906607
9,0di0zKKJ7ZdYcsjeYfAVyR,0.547,0.11,D,-12.918,minor,0.036,0.906,0.00517,0.241,0.311,108.952,157453,3,D minor,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,The Christmas Waltz,She & Him,A Very She & Him Christmas,https://i.scdn.co/image/6f03ddf59e64c24a6f4dbe167aedd3f0861efeb6,587.33,-5.360014,5.0202327,7.5970984,5.4767547
10,0EwuAHdON2ma8UBa7Flpee,0.311,0.664,A,-8.179,major,0.0377,0.186,7.46e-06,0.129,0.356,146.293,157613,4,A major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,I Saw Mommy Kissing Santa Claus,The Ronettes,A Christmas Gift For You From Phil Spector,https://i.scdn.co/image/df9902b4e29a085db5b3fb511c1e2c78ffe60831,440.0,-1.3008754,-0.31250802,5.4949493,5.614238
